farmer_id,name,district,upazila,village,land_size,irrigation_type,tractor_available,labor_availability,investment_capacity,phone
F1000,কৃষক_1,খুলনা,গফরগাঁও,গ্রাম_2,5.65,বৃষ্টিনির্ভর,True,মধ্যম,"২,০০,০০০ টাকা",01827872589
F1001,কৃষক_2,ময়মনসিংহ,বিশ্বম্ভরপুর,গ্রাম_3,7.88,নলকূপ,False,নিম্ন,"৫,০০,০০০ টাকা+",01459396148
F1002,কৃষক_3,বরিশাল,বিশ্বম্ভরপুর,গ্রাম_5,3.91,নলকূপ,True,উচ্চ,"১,০০,০০০ টাকা",01736959409
F1003,কৃষক_4,কুষ্টিয়া,গফরগাঁও,গ্রাম_2,2.09,নদী,False,নিম্ন,"২,০০,০০০ টাকা",01683973061
F1004,কৃষক_5,ময়মনসিংহ,আগৈলঝারা,গ্রাম_1,6.31,নদী,True,উচ্চ,"৫০,০০০ টাকা",01921413059
F1005,কৃষক_6,ঢাকা,আগৈলঝারা,গ্রাম_3,8.89,পাম্প,False,নিম্ন,"১,০০,০০০ টাকা",01996414919
F1006,কৃষক_7,সিলেট,মিঠাপুকুর,গ্রাম_3,7.33,নদী,False,নিম্ন,"১,০০,০০০ টাকা",01834434373
F1007,কৃষক_8,কুষ্টিয়া,বোয়ালখালী,গ্রাম_4,6.0,নলকূপ,False,নিম্ন,"৫,০০,০০০ টাকা+",01552187483
F1008,কৃষক_9,কুষ্টিয়া,সদর,গ্রাম_5,0.7,বৃষ্টিনির্ভর,False,মধ্যম,"৫,০০,০০০ টাকা+",01349920074
F1009,কৃষক_10,ময়মনসিংহ,মিরপুর,গ্রাম_3,4.63,পাম্প,False,উচ্চ,"২,০০,০০০ টাকা",01619987667
F1010,কৃষক_11,খুলনা,ডুমুরিয়া,গ্রাম_2,5.81,বৃষ্টিনির্ভর,False,মধ্যম,"১,০০,০০০ টাকা",01704414982
F1011,কৃষক_12,বরিশাল,আগৈলঝারা,গ্রাম_2,9.86,নদী,False,উচ্চ,"২,০০,০০০ টাকা",01469250986
F1012,কৃষক_13,ময়মনসিংহ,শাজাহানপুর,গ্রাম_5,4.54,নলকূপ,False,মধ্যম,"২,০০,০০০ টাকা",01317576405
F1013,কৃষক_14,রাজশাহী,মিঠাপুকুর,গ্রাম_4,3.11,পুকুর,True,নিম্ন,"১,০০,০০০ টাকা",01631371232
F1014,কৃষক_15,বগুড়া,শাজাহানপুর,গ্রাম_5,7.19,পুকুর,True,মধ্যম,"৫,০০,০০০ টাকা+",01938826482
F1015,কৃষক_16,ঢাকা,আগৈলঝারা,গ্রাম_2,1.06,পুকুর,True,মধ্যম,"৫০,০০০ টাকা",01739761939
F1016,কৃষক_17,ময়মনসিংহ,বোয়ালখালী,গ্রাম_4,3.04,পাম্প,True,মধ্যম,"৫০,০০০ টাকা",01805843356
F1017,কৃষক_18,রাজশাহী,মিরপুর,গ্রাম_4,1.11,বৃষ্টিনির্ভর,False,উচ্চ,"৫,০০,০০০ টাকা+",01770834358
F1018,কৃষক_19,ঢাকা,বোয়ালখালী,গ্রাম_3,0.83,নলকূপ,True,উচ্চ,"৫,০০,০০০ টাকা+",01408730537
